headline	date	url	order	number_words	newspaper
Ferraz da Costa e Nogueira Simões desentendem-se	1998-01-10	https://arquivo.pt/noFrame/replay/19980110124958/http://www.expresso.pt/	7	7	EXPRESSO
Estado poderá anular acordos com Grão-Pará	1998-01-10	https://arquivo.pt/noFrame/replay/19980110124958/http://www.expresso.pt/	19	6	EXPRESSO
Jorge Sampaio propõe almoço contra a droga	1998-01-10	https://arquivo.pt/noFrame/replay/19980110124958/http://www.expresso.pt/	16	7	EXPRESSO
O símbolo  dos 25 anos e o novo  EXPRESSO	1998-01-10	https://arquivo.pt/noFrame/replay/19980110124958/http://www.expresso.pt/	14	11	EXPRESSO
Indonésia abre portas a Ramos-Horta	1998-01-10	https://arquivo.pt/noFrame/replay/19980110124958/http://www.expresso.pt/	12	5	EXPRESSO
Planos das Forças Armadas têm militares a menos	1998-01-10	https://arquivo.pt/noFrame/replay/19980110124958/http://www.expresso.pt/	11	8	EXPRESSO
'Guerras' do Benfica preocupam Governo	1998-01-10	https://arquivo.pt/noFrame/replay/19980110124958/http://www.expresso.pt/	9	5	EXPRESSO
Stanley Ho e Lusomundo contra TVI	1998-01-10	https://arquivo.pt/noFrame/replay/19980110124958/http://www.expresso.pt/	8	6	EXPRESSO
Governo impõe mais mulheres no Parlamento	1998-01-10	https://arquivo.pt/noFrame/replay/19980110124958/http://www.expresso.pt/	1	6	EXPRESSO
Maria José avança para líder do PP	1998-01-10	https://arquivo.pt/noFrame/replay/19980110124958/http://www.expresso.pt/	0	7	EXPRESSO
Queda de avião causa 122 mortos	1998-12-12	https://arquivo.pt/noFrame/replay/19981212024831/http://www.expresso.pt/	32	6	EXPRESSO
Prémio Pessoa 98 na sexta-feira	1998-12-12	https://arquivo.pt/noFrame/replay/19981212024831/http://www.expresso.pt/	28	5	EXPRESSO
Vagas de Medicina trocadaspor milhares de contos	1998-12-12	https://arquivo.pt/noFrame/replay/19981212024831/http://www.expresso.pt/	0	7	EXPRESSO
Peões sujeitos a multa na estrada do Algarve	1998-12-12	https://arquivo.pt/noFrame/replay/19981212024831/http://www.expresso.pt/	25	8	EXPRESSO
Museu de Sintra compra De Chirico	1998-12-12	https://arquivo.pt/noFrame/replay/19981212024831/http://www.expresso.pt/	26	6	EXPRESSO
«Há grande expectativa quanto ao regresso de Vitorino», diz Carrilho ao Expresso	1998-12-12	https://arquivo.pt/noFrame/replay/19981212024831/http://www.expresso.pt/	3	12	EXPRESSO
SIC faz aliança com Telecompara lançar canais por cabo	1998-12-12	https://arquivo.pt/noFrame/replay/19981212024831/http://www.expresso.pt/	5	9	EXPRESSO
Maria Elisa à beira de abandonar RTP	1998-12-12	https://arquivo.pt/noFrame/replay/19981212024831/http://www.expresso.pt/	6	7	EXPRESSO
Durão é o melhor líder para a AD	1998-12-12	https://arquivo.pt/noFrame/replay/19981212024831/http://www.expresso.pt/	8	8	EXPRESSO
Guterres quer regressode «pesos pesados» à direcção	1998-12-12	https://arquivo.pt/noFrame/replay/19981212024831/http://www.expresso.pt/	2	7	EXPRESSO
Bissau pediu a Gama  para manter embaixador	1998-12-12	https://arquivo.pt/noFrame/replay/19981212024831/http://www.expresso.pt/	14	8	EXPRESSO
Salário mínimo para cem mil pensões	1998-12-12	https://arquivo.pt/noFrame/replay/19981212024831/http://www.expresso.pt/	17	6	EXPRESSO
Luís Filipe Madeira renuncia à Assembleia	1998-12-12	https://arquivo.pt/noFrame/replay/19981212024831/http://www.expresso.pt/	24	6	EXPRESSO
Viena consagra Kohlcomo cidadão honorário da Europa	1998-12-12	https://arquivo.pt/noFrame/replay/19981212024831/http://www.expresso.pt/	12	7	EXPRESSO
